iter	Passed	Remaining
0	51	21143
1	55	11364
2	58	8056
3	62	6409
4	66	5410
5	69	4727
6	73	4237
7	76	3867
8	79	3581
9	82	3341
10	85	3139
11	88	2969
12	92	2832
13	94	2700
14	97	2589
15	99	2479
16	102	2376
17	104	2288
18	106	2199
19	107	2117
20	109	2040
21	110	1966
22	112	1900
23	113	1836
24	114	1778
25	115	1724
26	117	1673
27	118	1628
28	119	1583
29	120	1542
30	122	1504
31	123	1468
32	124	1434
33	125	1403
34	127	1373
35	128	1344
36	129	1317
37	130	1290
38	132	1266
39	133	1243
40	134	1222
41	136	1203
42	137	1186
43	139	1168
44	140	1152
45	142	1136
46	143	1120
47	145	1106
48	146	1091
49	148	1078
50	150	1065
51	151	1053
52	153	1041
53	155	1030
54	156	1019
55	158	1008
56	160	999
57	161	990
58	163	979
59	164	970
60	166	961
61	168	951
62	169	942
63	171	933
64	172	924
65	174	915
66	175	907
67	177	898
68	178	891
69	180	883
70	181	875
71	183	868
72	184	861
73	186	854
74	188	847
75	189	841
76	191	835
77	193	829
78	194	823
79	196	817
80	197	811
81	199	804
82	201	799
83	202	794
84	204	788
85	205	782
86	207	777
87	208	771
88	210	765
89	211	760
90	213	755
91	215	750
92	216	744
93	218	740
94	219	735
95	221	730
96	222	725
97	224	721
98	226	716
99	227	712
100	229	708
101	230	703
102	232	699
103	234	695
104	235	691
105	237	687
106	238	683
107	240	679
108	242	675
109	243	670
110	245	666
111	246	662
112	248	658
113	249	655
114	251	651
115	253	647
116	254	644
117	256	641
118	258	637
119	259	633
120	261	630
121	262	626
122	264	623
123	266	620
124	267	616
125	269	613
126	271	610
127	272	606
128	273	603
129	275	600
130	277	596
131	278	593
132	280	590
133	281	586
134	283	583
135	284	580
136	286	577
137	288	574
138	289	571
139	291	568
140	293	565
141	294	562
142	296	560
143	298	557
144	299	554
145	301	551
146	303	549
147	305	546
148	306	543
149	308	540
150	310	537
151	311	535
152	313	532
153	315	530
154	317	527
155	318	525
156	320	522
157	322	519
158	323	516
159	324	513
160	326	510
161	328	508
162	329	505
163	331	502
164	332	500
165	334	497
166	336	495
167	337	492
168	339	490
169	340	487
170	342	484
171	344	482
172	345	479
173	347	477
174	348	474
175	350	471
176	352	469
177	353	466
178	355	464
179	356	462
180	358	459
181	360	457
182	361	454
183	363	452
184	365	450
185	366	447
186	368	445
187	370	442
188	371	440
189	373	438
190	374	435
191	376	433
192	377	430
193	379	428
194	381	426
195	382	423
196	384	421
197	386	419
198	387	416
199	389	414
200	391	412
201	392	410
202	394	407
203	395	405
204	397	403
205	399	401
206	400	398
207	402	396
208	404	394
209	405	391
210	406	389
211	408	387
212	410	385
213	411	382
214	413	380
215	415	378
216	416	376
217	418	374
218	420	372
219	421	370
220	423	367
221	425	365
222	426	363
223	428	361
224	429	359
225	431	356
226	433	354
227	434	352
228	436	350
229	437	348
230	439	346
231	441	344
232	442	342
233	444	340
234	446	337
235	447	335
236	449	333
237	451	331
238	452	329
239	454	327
240	455	325
241	457	323
242	459	321
243	460	319
244	462	316
245	463	314
246	465	312
247	467	310
248	468	308
249	470	306
250	472	304
251	473	302
252	475	300
253	477	298
254	478	296
255	480	294
256	481	292
257	483	290
258	485	288
259	487	286
260	488	284
261	490	282
262	491	280
263	493	278
264	495	276
265	496	274
266	498	272
267	500	270
268	501	268
269	503	266
270	505	264
271	506	262
272	508	260
273	509	258
274	511	256
275	513	254
276	514	252
277	516	250
278	517	248
279	519	246
280	521	244
281	522	242
282	524	240
283	526	238
284	527	237
285	529	235
286	531	233
287	532	231
288	534	229
289	536	227
290	537	225
291	539	223
292	540	221
293	542	219
294	544	217
295	545	215
296	547	213
297	548	211
298	550	209
299	552	208
300	553	206
301	555	204
302	557	202
303	558	200
304	560	198
305	562	196
306	563	194
307	565	192
308	567	190
309	568	188
310	570	187
311	571	185
312	573	183
313	575	181
314	576	179
315	578	177
316	580	175
317	581	173
318	583	171
319	585	170
320	586	168
321	588	166
322	589	164
323	591	162
324	593	160
325	595	158
326	596	156
327	598	155
328	599	153
329	601	151
330	603	149
331	604	147
332	606	145
333	608	143
334	609	141
335	611	140
336	612	138
337	614	136
338	615	134
339	617	132
340	619	130
341	620	128
342	622	127
343	623	125
344	625	123
345	627	121
346	628	119
347	630	117
348	632	115
349	634	114
350	635	112
351	637	110
352	638	108
353	640	106
354	641	104
355	643	103
356	644	101
357	646	99
358	648	97
359	649	95
360	651	93
361	653	91
362	654	90
363	656	88
364	657	86
365	659	84
366	661	82
367	662	81
368	664	79
369	665	77
370	667	75
371	669	73
372	670	71
373	672	70
374	674	68
375	675	66
376	677	64
377	679	62
378	681	61
379	682	59
380	684	57
381	686	55
382	688	53
383	689	52
384	691	50
385	693	48
386	694	46
387	696	44
388	698	43
389	699	41
390	701	39
391	703	37
392	704	35
393	706	34
394	708	32
395	710	30
396	711	28
397	713	26
398	715	25
399	716	23
400	718	21
401	720	19
402	721	17
403	723	16
404	725	14
405	726	12
406	728	10
407	729	8
408	731	7
409	733	5
410	734	3
411	736	1
412	738	0
