date,year,moex_index,rts_index,ofz_10y_yield_pct,ruonia_pct,usd_rub,moex_trading_halted
2014-01-01,2014,1468.0,1352.09,6.62,5.48,32.52,0
2014-01-02,2014,1481.0,1362.88,6.55,5.51,32.43,0
2014-01-03,2014,1484.0,1365.74,4.47,5.53,32.35,0
2014-01-06,2014,1458.0,1340.88,5.58,5.48,32.79,0
2014-01-07,2014,1480.0,1360.44,6.5,5.71,32.62,0
2014-01-08,2014,1485.0,1364.78,7.06,5.72,32.37,0
2014-01-09,2014,1470.0,1350.62,5.71,5.74,32.72,0
2014-01-10,2014,1466.0,1345.78,5.5,5.76,33.58,0
2014-01-13,2014,1471.0,1349.15,6.91,5.77,32.65,0
2014-01-14,2014,1463.0,1341.98,5.69,5.77,33.15,0
2014-01-15,2014,1496.0,1371.46,7.65,5.76,32.05,0
2014-01-16,2014,1463.0,1341.42,7.19,5.99,32.66,0
2014-01-17,2014,1484.0,1360.26,7.45,5.89,32.99,0
2014-01-20,2014,1475.0,1350.56,6.17,5.83,32.77,0
2014-01-21,2014,1470.0,1345.02,5.62,5.99,32.61,0
2014-01-22,2014,1507.0,1378.79,6.87,5.85,32.78,0
2014-01-23,2014,1480.0,1353.98,5.58,6.06,33.06,0
2014-01-24,2014,1471.0,1345.08,5.7,6.08,33.38,0
2014-01-27,2014,1470.0,1343.01,6.34,6.09,33.12,0
2014-01-28,2014,1490.0,1360.75,6.76,6.09,32.72,0
2014-01-29,2014,1499.0,1368.55,6.02,6.23,32.8,0
2014-01-30,2014,1507.0,1375.69,6.07,6.2,32.81,0
2014-01-31,2014,1482.0,1351.97,6.22,6.08,32.65,0
2014-02-03,2014,1484.0,1349.24,7.33,6.41,32.95,0
2014-02-04,2014,1491.0,1354.27,6.23,6.26,32.96,0
2014-02-05,2014,1493.0,1354.07,7.24,6.25,32.77,0
2014-02-06,2014,1478.0,1338.11,7.71,6.49,33.36,0
2014-02-07,2014,1519.0,1373.68,7.44,6.49,33.29,0
2014-02-10,2014,1497.0,1347.81,7.99,6.45,33.16,0
2014-02-11,2014,1508.0,1355.35,8.23,6.41,33.42,0
2014-02-12,2014,1507.0,1352.78,6.0,6.46,33.17,0
2014-02-13,2014,1508.0,1351.68,6.28,6.52,33.33,0
2014-02-14,2014,1484.0,1328.27,7.74,6.68,33.71,0
2014-02-17,2014,1506.0,1341.99,8.08,6.76,33.79,0
2014-02-18,2014,1549.0,1378.55,5.88,6.69,33.58,0
2014-02-19,2014,1538.0,1366.35,8.45,6.76,33.85,0
2014-02-20,2014,1513.0,1342.35,8.25,6.71,33.79,0
2014-02-21,2014,1505.0,1333.19,8.71,6.68,33.59,0
2014-02-24,2014,1476.0,1301.72,6.63,6.71,33.96,0
2014-02-25,2014,1508.0,1328.14,7.34,6.88,34.17,0
2014-02-26,2014,1517.0,1334.09,7.32,6.95,34.19,0
2014-02-27,2014,1514.0,1329.54,7.0,6.86,33.69,0
2014-02-28,2014,1516.0,1329.91,6.34,7.02,34.25,0
2014-03-03,2014,1531.0,1342.28,6.09,6.94,34.22,0
2014-03-04,2014,1500.0,1315.97,8.45,6.98,33.67,0
2014-03-05,2014,1521.0,1335.8,7.34,6.96,33.95,0
2014-03-06,2014,1513.0,1329.25,7.83,7.09,34.28,0
2014-03-07,2014,1498.0,1316.57,6.7,7.04,34.51,0
2014-03-10,2014,1540.0,1356.28,8.89,7.02,33.62,0
2014-03-11,2014,1522.0,1340.85,8.91,7.04,34.31,0
2014-03-12,2014,1493.0,1315.97,8.16,6.94,33.52,0
2014-03-13,2014,1515.0,1336.28,6.87,6.87,34.39,0
2014-03-14,2014,1479.0,1305.63,6.83,7.01,33.92,0
2014-03-17,2014,1488.0,1315.77,7.72,7.06,33.73,0
2014-03-18,2014,1522.0,1347.15,8.69,7.13,34.0,0
2014-03-19,2014,1503.0,1331.03,9.18,7.08,33.62,0
2014-03-20,2014,1501.0,1329.31,6.42,7.07,34.0,0
2014-03-21,2014,1512.0,1340.34,7.09,6.88,33.81,0
2014-03-24,2014,1501.0,1333.0,7.39,7.18,32.77,0
2014-03-25,2014,1484.0,1318.6,7.02,7.16,33.54,0
2014-03-26,2014,1504.0,1337.32,7.89,7.22,33.79,0
2014-03-27,2014,1456.0,1295.42,7.87,7.16,34.01,0
2014-03-28,2014,1473.0,1310.96,9.04,7.26,33.79,0
2014-03-31,2014,1479.0,1318.65,6.67,7.15,33.92,0
2014-04-01,2014,1489.0,1328.45,7.4,7.2,33.38,0
2014-04-02,2014,1473.0,1312.42,7.9,7.23,33.86,0
2014-04-03,2014,1446.0,1287.48,8.57,7.27,33.9,0
2014-04-04,2014,1443.0,1283.17,8.64,7.25,33.3,0
2014-04-07,2014,1474.0,1305.53,8.91,7.28,34.16,0
2014-04-08,2014,1466.0,1296.97,7.82,7.27,33.99,0
2014-04-09,2014,1457.0,1288.11,7.0,7.24,33.87,0
2014-04-10,2014,1454.0,1283.39,8.29,7.34,33.9,0
2014-04-11,2014,1474.0,1300.02,9.13,7.14,33.74,0
2014-04-14,2014,1493.0,1311.83,7.09,7.24,34.32,0
2014-04-15,2014,1472.0,1291.42,6.84,7.43,34.27,0
2014-04-16,2014,1492.0,1307.7,6.29,7.25,34.38,0
2014-04-17,2014,1461.0,1279.33,8.31,7.31,34.29,0
2014-04-18,2014,1475.0,1289.81,7.82,7.43,34.36,0
2014-04-21,2014,1489.0,1297.51,6.75,7.33,34.35,0
2014-04-22,2014,1462.0,1272.11,6.89,7.28,34.77,0
2014-04-23,2014,1464.0,1272.82,8.2,7.45,34.68,0
2014-04-24,2014,1456.0,1264.64,7.38,7.34,34.6,0
2014-04-25,2014,1473.0,1277.29,7.21,7.35,34.55,0
2014-04-28,2014,1476.0,1275.75,8.32,7.23,34.22,0
2014-04-29,2014,1466.0,1265.26,6.43,7.39,34.2,0
2014-04-30,2014,1455.0,1254.41,6.55,7.46,34.69,0
2014-05-01,2014,1432.0,1233.42,7.04,7.38,35.19,0
2014-05-02,2014,1456.0,1254.07,7.24,7.31,34.63,0
2014-05-05,2014,1449.0,1248.89,6.67,7.4,34.63,0
2014-05-06,2014,1456.0,1254.3,6.75,7.39,34.54,0
2014-05-07,2014,1452.0,1251.5,7.05,7.43,34.45,0
2014-05-08,2014,1476.0,1272.52,8.57,7.42,34.55,0
2014-05-09,2014,1435.0,1237.33,8.83,7.6,34.88,0
2014-05-12,2014,1416.0,1221.37,7.14,7.51,34.65,0
2014-05-13,2014,1422.0,1226.73,8.47,7.35,34.64,0
2014-05-14,2014,1430.0,1233.24,7.11,7.5,34.61,0
2014-05-15,2014,1458.0,1257.86,9.18,7.5,34.85,0
2014-05-16,2014,1416.0,1221.46,7.47,7.61,34.89,0
2014-05-19,2014,1414.0,1220.41,7.08,7.52,34.25,0
2014-05-20,2014,1440.0,1242.72,7.66,7.52,34.55,0
2014-05-21,2014,1446.0,1248.2,6.82,7.69,34.73,0
2014-05-22,2014,1404.0,1211.79,7.3,7.47,34.88,0
2014-05-23,2014,1399.0,1207.56,7.53,7.62,34.79,0
2014-05-26,2014,1412.0,1218.91,8.23,7.58,34.97,0
2014-05-27,2014,1435.0,1239.19,6.83,7.55,34.35,0
2014-05-28,2014,1425.0,1230.55,7.38,7.54,34.85,0
2014-05-29,2014,1408.0,1216.42,9.13,7.71,35.31,0
2014-05-30,2014,1432.0,1237.33,7.54,7.64,34.74,0
