,date,year,moex_index,rts_index,ofz_10y_yield_pct,ruonia_pct,usd_rub,moex_trading_halted,brent_usd_bbl,urals_usd_bbl,espo_usd_bbl,urals_brent_spread_usd,espo_brent_spread_usd,ttf_gas_eur_mwh,wheat_usd_t,urea_usd_t,aluminium_usd_t,t_idx,moex_ret,rts_ret,rub_ret,brent_ret,urals_disc_chg,espo_disc_chg,ofz_chg
0,2014-01-01,2014,1468.0,1352.09,6.62,5.48,32.52,0,104.64,101.28,104.48,3.36,0.15,22.55,243.85,321.87,1899.19,0,,,,,,,
1,2014-01-02,2014,1481.0,1362.88,6.55,5.51,32.43,0,108.86,100.93,106.67,7.93,2.19,19.42,248.48,301.71,1924.05,1,0.008816605093338481,0.007948564300156669,-0.002771364360383277,0.03953676529716521,4.57,2.04,-0.07000000000000028
2,2014-01-03,2014,1484.0,1365.74,4.47,5.53,32.35,0,104.56,100.71,103.84,3.85,0.72,19.93,258.93,317.72,1867.31,2,0.0020236094595267318,0.002096298529914442,-0.002469899372317119,-0.04030158369008774,-4.08,-1.47,-2.08
3,2014-01-06,2014,1458.0,1340.88,5.58,5.48,32.79,0,107.64,103.56,105.43,4.08,2.21,21.57,238.52,325.01,1818.22,3,-0.017675511158722124,-0.018370291445759968,0.013509569909647023,0.02903125654273886,0.22999999999999998,1.49,1.1100000000000003
4,2014-01-07,2014,1480.0,1360.44,6.5,5.71,32.62,0,109.71,102.01,106.75,7.7,2.95,18.44,263.86,335.62,1867.22,4,0.014976454189556954,0.014482061998504214,-0.0051979936636890045,0.019048194970694432,3.62,0.7400000000000002,0.9199999999999999
5,2014-01-08,2014,1485.0,1364.78,7.06,5.72,32.37,0,108.86,102.34,108.01,6.52,0.85,22.8,238.3,321.73,1921.5,5,0.003372684478639698,0.0031850666507518,-0.007693529254714893,-0.007777867823345552,-1.1800000000000006,-2.1,0.5599999999999996
6,2014-01-09,2014,1470.0,1350.62,5.71,5.74,32.72,0,108.14,99.94,106.32,8.2,1.82,20.97,247.9,301.36,1851.91,6,-0.010152371464018373,-0.010429497203780613,0.010754443796393343,-0.006635969052195101,1.6799999999999997,0.9700000000000001,-1.3499999999999996
7,2014-01-10,2014,1466.0,1345.78,5.5,5.76,33.58,0,107.65,105.76,107.49,1.89,0.17,18.09,251.87,318.2,1941.93,7,-0.0027247973261852465,-0.003589975669878065,0.025944139914848563,-0.004541460143486553,-6.31,-1.6500000000000001,-0.20999999999999996
8,2014-01-13,2014,1471.0,1349.15,6.91,5.77,32.65,0,107.71,102.19,105.11,5.51,2.6,22.62,240.81,325.29,1878.0,8,0.003404838154841272,0.0025009939082680788,-0.028085795926954482,0.0005572065523065106,3.62,2.43,1.4100000000000001
9,2014-01-14,2014,1463.0,1341.98,5.69,5.77,33.15,0,112.53,102.43,112.45,10.09,0.08,24.1,251.06,291.58,1911.28,9,-0.005453319581313565,-0.00532862921195143,0.015197860909431427,0.043777422399227106,4.58,-2.52,-1.2199999999999998
10,2014-01-15,2014,1496.0,1371.46,7.65,5.76,32.05,0,111.75,105.38,109.83,6.37,1.92,16.9,245.68,292.16,1930.69,10,0.022305757514297753,0.021729730513780687,-0.033745533265192584,-0.006955619268227409,-3.7199999999999998,1.8399999999999999,1.96
11,2014-01-16,2014,1463.0,1341.42,7.19,5.99,32.66,0,108.44,104.88,105.73,3.56,2.71,23.71,254.59,303.32,1950.4,11,-0.022305757514297753,-0.022147111454475343,0.018853904175639702,-0.03006720886321368,-2.81,0.79,-0.45999999999999996
12,2014-01-17,2014,1484.0,1360.26,7.45,5.89,32.99,0,106.38,106.09,103.41,0.29,2.97,15.8,243.04,313.3,1903.48,12,0.014252022707201384,0.013947103578570541,0.010053397698171374,-0.019179435316293514,-3.27,0.26000000000000023,0.2599999999999998
13,2014-01-20,2014,1475.0,1350.56,6.17,5.83,32.77,0,108.75,108.86,106.83,-0.12,1.92,19.09,246.16,331.92,1836.1,13,-0.006083154953405945,-0.007156536693383231,-0.0066910225297669434,0.0220340806546222,-0.41,-1.0500000000000003,-1.2800000000000002
14,2014-01-21,2014,1470.0,1345.02,5.62,5.99,32.61,0,108.39,108.0,107.61,0.4,0.78,17.54,253.83,303.64,1932.15,14,-0.0033955890011378997,-0.004110438421550455,-0.0048944729094952955,-0.0033158361411347315,0.52,-1.14,-0.5499999999999998
15,2014-01-22,2014,1507.0,1378.79,6.87,5.85,32.78,0,107.46,109.02,105.17,-1.56,2.3,18.73,244.26,312.17,1869.08,15,0.024858518853713818,0.02479742011905728,0.005199583514455597,-0.008617148526983698,-1.96,1.5199999999999998,1.25
16,2014-01-23,2014,1480.0,1353.98,5.58,6.06,33.06,0,107.82,112.93,106.15,-5.11,1.66,23.23,242.39,320.9,1844.94,16,-0.018078831868335143,-0.018157899618533868,0.008505519077194545,0.0033444847228478736,-3.5500000000000003,-0.6399999999999999,-1.29
17,2014-01-24,2014,1471.0,1345.08,5.7,6.08,33.38,0,107.49,110.02,107.27,-2.53,0.22,19.36,241.04,330.96,1856.9,17,-0.006099646156722649,-0.006594912493378402,0.009632825840811154,-0.003065350038550463,2.5800000000000005,-1.44,0.1200000000000001
18,2014-01-27,2014,1470.0,1343.01,6.34,6.09,33.12,0,113.48,112.04,111.2,1.44,2.28,21.12,258.54,323.82,1837.09,18,-0.0006800408286560256,-0.0015401273091075751,-0.007819588716630133,0.054228789955677925,3.9699999999999998,2.0599999999999996,0.6399999999999997
19,2014-01-28,2014,1490.0,1360.75,6.76,6.09,32.72,0,109.16,111.25,106.95,-2.09,2.21,15.78,232.38,307.66,1932.95,19,0.01351371916672317,0.01312265480241237,-0.012150817782512924,-0.038811914100512546,-3.53,-0.06999999999999984,0.41999999999999993
20,2014-01-29,2014,1499.0,1368.55,6.02,6.23,32.8,0,110.83,116.37,109.48,-5.54,1.35,17.51,237.87,319.9,1913.05,20,0.006022099163092598,0.005715766852659954,0.0024420036555516944,0.015182799947424108,-3.45,-0.8599999999999999,-0.7400000000000002
21,2014-01-30,2014,1507.0,1375.69,6.07,6.2,32.81,0,108.36,110.87,108.26,-2.52,0.1,20.58,245.81,314.38,1898.11,21,0.00532270052389805,0.005203638246883635,0.0003048315829126125,-0.022538478570667486,3.02,-1.25,0.05000000000000071
22,2014-01-31,2014,1482.0,1351.97,6.22,6.08,32.65,0,109.59,114.56,108.35,-4.97,1.24,20.93,253.6,319.99,1901.89,22,-0.016728392770463785,-0.01739263540624325,-0.004888491250570226,0.011287112258406395,-2.4499999999999997,1.14,0.14999999999999947
23,2014-02-03,2014,1484.0,1349.24,7.33,6.41,32.95,0,110.49,111.24,109.82,-0.74,0.67,17.86,251.28,314.14,1931.82,23,0.0013486178712938113,-0.002021317061243977,0.009146405226076126,0.008178889649783194,4.2299999999999995,-0.57,1.1100000000000003
24,2014-02-04,2014,1491.0,1354.27,6.23,6.26,32.96,0,110.46,115.96,108.55,-5.49,1.92,24.34,259.33,328.36,1858.67,24,0.0047058910374122576,0.0037210928045414704,0.0003034440927547344,-0.0002715546520422052,-4.75,1.25,-1.0999999999999996
25,2014-02-05,2014,1493.0,1354.07,7.24,6.25,32.77,0,110.05,116.48,107.1,-6.42,2.96,24.63,255.67,320.74,1847.66,25,0.0013404827744523118,-0.00014769194441122124,-0.005781242330547887,-0.003718656500571349,-0.9299999999999997,1.04,1.0099999999999998
26,2014-02-06,2014,1478.0,1338.11,7.71,6.49,33.36,0,109.64,115.62,108.13,-5.97,1.52,21.15,261.34,308.68,1872.31,26,-0.01009769603104349,-0.011856701240464673,0.01784411477982273,-0.0037325365378855224,0.4500000000000002,-1.44,0.46999999999999975
27,2014-02-07,2014,1519.0,1373.68,7.44,6.49,33.29,0,109.0,115.97,106.45,-6.98,2.55,17.94,250.25,306.0,1881.82,27,0.02736240108762633,0.026235099439515963,-0.002100525903612205,-0.005854389205441457,-1.0100000000000007,1.0299999999999998,-0.2699999999999996
28,2014-02-10,2014,1497.0,1347.81,7.99,6.45,33.16,0,110.12,112.05,108.15,-1.94,1.97,18.23,253.59,311.26,1892.01,28,-0.014589118176144389,-0.01901221702251288,-0.003912721319839552,0.010222798045263382,5.040000000000001,-0.5799999999999998,0.5499999999999998
29,2014-02-11,2014,1508.0,1355.35,8.23,6.41,33.42,0,110.77,113.89,108.95,-3.12,1.82,18.62,260.82,333.38,1913.82,29,0.007321164148272885,0.005578670559423848,0.007810192900153723,0.005885299254434706,-1.1800000000000002,-0.1499999999999999,0.2400000000000002
30,2014-02-12,2014,1507.0,1352.78,6.0,6.46,33.17,0,109.32,112.4,106.61,-3.08,2.71,20.69,256.63,312.89,1870.96,30,-0.000663349941405933,-0.0018979892187642733,-0.007508670208286716,-0.013176618468974333,0.040000000000000036,0.8899999999999999,-2.2300000000000004
31,2014-02-13,2014,1508.0,1351.68,6.28,6.52,33.33,0,107.14,110.42,105.66,-3.28,1.48,19.35,260.92,299.85,1934.74,31,0.000663349941405933,-0.000813471125961307,0.0048120393606869705,-0.02014297060705328,-0.19999999999999973,-1.23,0.28000000000000025
32,2014-02-14,2014,1484.0,1328.27,7.74,6.68,33.71,0,111.45,111.37,111.4,0.08,0.06,19.6,242.15,322.57,1827.27,32,-0.016043124840575906,-0.017470919573679744,0.011336636926321475,0.03943966937906396,3.36,-1.42,1.46
33,2014-02-17,2014,1506.0,1341.99,8.08,6.76,33.79,0,110.04,113.57,108.62,-3.53,1.43,19.3,248.01,312.64,1827.74,33,0.014715984632513113,0.010276243314982558,0.0023703714802287834,-0.012732123775504256,-3.61,1.3699999999999999,0.33999999999999986
34,2014-02-18,2014,1549.0,1378.55,5.88,6.69,33.58,0,109.91,110.33,107.44,-0.42,2.47,25.32,254.56,318.34,1929.64,34,0.028152432057029664,0.02687863517642164,-0.0062342490768036996,-0.0011820869755645447,3.11,1.0400000000000003,-2.2
35,2014-02-19,2014,1538.0,1366.35,8.45,6.76,33.85,0,107.3,111.03,105.01,-3.73,2.29,25.14,244.21,326.59,1926.39,35,-0.007126690351279663,-0.008889271256529163,0.008008347708889474,-0.024033199444156494,-3.31,-0.18000000000000016,2.5699999999999994
36,2014-02-20,2014,1513.0,1342.35,8.25,6.71,33.79,0,104.52,113.09,102.68,-8.57,1.84,19.98,247.63,301.77,1848.75,36,-0.016388436277233076,-0.01772114156195137,-0.0017740986320857743,-0.026250208984240686,-4.84,-0.44999999999999996,-0.1999999999999993
37,2014-02-21,2014,1505.0,1333.19,8.71,6.68,33.59,0,110.91,106.67,109.49,4.24,1.42,19.16,245.66,307.24,1941.59,37,-0.0053015366053799085,-0.006847242641597973,-0.0059364971019970625,0.05934062096423798,12.81,-0.42000000000000015,0.46000000000000085
38,2014-02-24,2014,1476.0,1301.72,6.63,6.71,33.96,0,110.47,106.29,109.08,4.18,1.39,25.72,240.08,341.21,1898.42,38,-0.019457172022558034,-0.023888099777681582,0.010954957818945399,-0.003975070732465724,-0.0600000000000005,-0.030000000000000027,-2.080000000000001
39,2014-02-25,2014,1508.0,1328.14,7.34,6.88,34.17,0,107.39,108.04,105.54,-0.64,1.86,24.36,240.96,293.27,1882.05,39,0.02144854340748381,0.02009300028895389,0.006164704684053834,-0.02827692301405893,-4.819999999999999,0.4700000000000002,0.71
40,2014-02-26,2014,1517.0,1334.09,7.32,6.95,34.19,0,106.38,107.63,105.36,-1.25,1.02,17.02,250.42,323.16,1817.47,40,0.005950430780630178,0.004469944300038442,0.0005851375240091272,-0.009449478555954016,-0.61,-0.8400000000000001,-0.019999999999999574
41,2014-02-27,2014,1514.0,1329.54,7.0,6.86,33.69,0,108.25,109.25,105.72,-1.01,2.53,18.55,247.86,312.59,1907.82,41,-0.001979545351137979,-0.003416393737520451,-0.0147321462327481,0.01742577756842767,0.24,1.5099999999999998,-0.3200000000000003
42,2014-02-28,2014,1516.0,1329.91,6.34,7.02,34.25,0,108.29,108.04,107.83,0.25,0.46,22.3,251.79,318.87,1879.66,42,0.001320132204923219,0.00027825302403616803,0.016485507289772716,0.00036944675768957325,1.26,-2.07,-0.6600000000000001
43,2014-03-03,2014,1531.0,1342.28,6.09,6.94,34.22,0,111.32,108.12,110.48,3.2,0.84,16.4,240.15,330.01,1812.17,43,0.009845829455366939,0.009258389830529623,-0.000876296244186836,0.027596123017401553,2.95,0.37999999999999995,-0.25
44,2014-03-04,2014,1500.0,1315.97,8.45,6.98,33.67,0,110.68,111.85,109.31,-1.17,1.37,18.52,250.23,316.79,1863.03,44,-0.02045600856738261,-0.019795624310896542,-0.01620303529106426,-0.0057657817389644705,-4.37,0.5300000000000001,2.3599999999999994
45,2014-03-05,2014,1521.0,1335.8,7.34,6.96,33.95,0,110.17,109.25,109.13,0.91,1.03,18.2,252.95,327.06,1911.04,45,0.013902905168991175,0.014956327018697202,0.008281620831722236,-0.004618527566751851,2.08,-0.3400000000000001,-1.1099999999999994
