,event_id,date,year,month,wave,event_type,jurisdiction,target_sector,severity_score,is_financial,is_energy,is_individual,is_sectoral,cumulative_US_events,cumulative_EU_events,cumulative_global_events,cumulative_Russia_events,cumulative_UK_events,cumulative_G7+EU_events,t_idx,trading_anchor_date
0,E0001,2014-03-17,2014,3,wave_1_crimea,individual_sdn,US,officials,3,0,0,1,0,1,0,0,0,0,0,53,2014-03-17
1,E0002,2014-03-17,2014,3,wave_1_crimea,individual_sdn,EU,officials,3,0,0,1,0,0,1,0,0,0,0,53,2014-03-17
2,E0003,2014-03-20,2014,3,wave_1_crimea,individual_sdn,US,officials,3,0,0,1,0,2,0,0,0,0,0,56,2014-03-20
3,E0004,2014-04-28,2014,4,wave_1_crimea,individual_sdn,US,officials,3,0,0,1,0,3,0,0,0,0,0,83,2014-04-28
4,E0005,2014-07-16,2014,7,wave_1_crimea,sectoral,US,finance,6,1,0,0,1,4,0,0,0,0,0,140,2014-07-16
5,E0006,2014-07-16,2014,7,wave_1_crimea,sectoral,US,energy,6,0,1,0,1,5,0,0,0,0,0,140,2014-07-16
6,E0007,2014-07-17,2014,7,wave_1_crimea,incident,global,aviation,8,0,0,0,0,0,0,1,0,0,0,141,2014-07-17
7,E0008,2014-07-31,2014,7,wave_1_crimea,sectoral,EU,finance,6,1,0,0,1,0,2,0,0,0,0,151,2014-07-31
8,E0009,2014-09-12,2014,9,wave_1_crimea,sectoral,US,energy_tech,7,0,1,0,1,6,0,0,0,0,0,182,2014-09-12
9,E0010,2014-09-12,2014,9,wave_1_crimea,sectoral,EU,energy_tech,7,0,1,0,1,0,3,0,0,0,0,182,2014-09-12
10,E0011,2014-12-19,2014,12,wave_1_crimea,sectoral,US,crimea_general,7,0,0,0,1,7,0,0,0,0,0,252,2014-12-19
11,E0012,2015-08-07,2015,8,wave_1_crimea,counter_sanctions,Russia,food_imports,7,0,0,0,0,0,0,0,1,0,0,417,2015-08-07
12,E0013,2016-09-01,2016,9,wave_1_crimea,individual_sdn,US,officials,2,0,0,1,0,8,0,0,0,0,0,696,2016-09-01
13,E0014,2017-06-20,2017,6,wave_1_crimea,individual_sdn,US,officials,2,0,0,1,0,9,0,0,0,0,0,904,2017-06-20
14,E0015,2017-08-02,2017,8,wave_1_crimea,legislation,US,general_CAATSA,7,0,0,0,0,10,0,0,0,0,0,935,2017-08-02
15,E0016,2018-01-29,2018,1,wave_1_crimea,individual_sdn,US,oligarchs,5,0,0,1,0,11,0,0,0,0,0,1063,2018-01-29
16,E0017,2018-04-06,2018,4,wave_1_crimea,individual_sdn,US,oligarchs,7,0,0,1,0,12,0,0,0,0,0,1112,2018-04-06
17,E0018,2019-08-02,2019,8,wave_1_crimea,sectoral,US,sovereign_debt,5,1,0,0,1,13,0,0,0,0,0,1457,2019-08-02
