,cluster_id,n_events,start_idx,end_idx,start_date,end_date,severity_sum,severity_max
0,0,4,53,83,2014-03-17,2014-04-28,12,3
1,1,6,140,182,2014-07-16,2014-09-12,40,8
2,2,1,252,252,2014-12-19,2014-12-19,7,7
3,3,1,417,417,2015-08-07,2015-08-07,7,7
4,4,1,696,696,2016-09-01,2016-09-01,2,2
5,5,2,904,935,2017-06-20,2017-08-02,9,7
6,6,1,1063,1063,2018-01-29,2018-01-29,5,5
7,7,1,1112,1112,2018-04-06,2018-04-06,7,7
8,8,1,1457,1457,2019-08-02,2019-08-02,5,5
9,9,1,1618,1618,2020-03-15,2020-03-15,2,2
10,10,1,1901,1901,2021-04-15,2021-04-15,5,5
11,11,19,2123,2231,2022-02-21,2022-07-21,134,10
12,12,2,2282,2286,2022-09-30,2022-10-06,15,8
13,13,2,2328,2337,2022-12-05,2022-12-16,16,10
14,14,2,2388,2420,2023-02-25,2023-04-12,13,7
15,15,1,2472,2472,2023-06-23,2023-06-23,6,6
16,16,1,2532,2532,2023-09-15,2023-09-15,7,7
17,17,1,2598,2598,2023-12-18,2023-12-18,6,6
18,18,2,2647,2647,2024-02-23,2024-02-23,14,7
19,19,3,2700,2733,2024-05-08,2024-06-24,19,8
20,20,1,2816,2816,2024-10-17,2024-10-17,6,6
21,21,3,2858,2908,2024-12-16,2025-02-24,21,9
22,22,1,3012,3012,2025-07-18,2025-07-18,5,5
23,23,1,3118,3118,2025-12-15,2025-12-15,5,5
24,24,1,3169,3169,2026-02-24,2026-02-24,5,5
